t,ax,ay,az,gx,gy,gz
4.32462739944458,7814,12433,-11836,4390,-28692,-16177
4.336568117141724,10290,14070,-12593,5184,-26978,-14592
4.348473787307739,9322,16652,-11454,4185,-23034,-8049
4.360449314117432,13749,16386,-9763,-673,-19518,-8481
4.372392892837524,15199,15088,-8984,-1493,-12192,-8457
4.3843371868133545,9730,13574,-9321,-3508,-2359,-5023
4.3962562084198,3361,14467,-9686,-4988,-108,-3577
4.408219814300537,2275,14212,-9168,-6158,-6056,-6659
4.4201624393463135,9231,18075,-8249,-7122,-15360,-10051
4.4321043491363525,13333,18455,-8264,-9647,-14279,-9963
4.444045066833496,12990,18187,-8034,-12756,-6362,-7463
4.455971717834473,9791,18163,-8323,-15296,1035,-6943
4.467869997024536,8753,18229,-7683,-17204,4283,-4456
4.4798362255096436,6158,16959,-10675,-19942,3778,-6251
4.491795063018799,12544,13349,-17743,-19336,1582,-4594
4.50377082824707,15439,15341,-13556,-16878,5851,280
4.5157599449157715,17066,17809,-9027,-15758,18764,5921
4.527665615081787,15376,18005,24,-19423,32767,7143
4.539606809616089,10588,14964,-5576,-24890,32767,15259
4.551548957824707,5003,19431,-212,-21891,32757,19827
4.563482999801636,14073,21371,1279,-24075,32767,18136
4.57541823387146,9234,25557,582,-26141,32763,-5992
4.587317228317261,3105,12383,-3965,-32108,25771,-32768
4.599252700805664,13596,9576,1280,-29146,17088,-21495
4.611185789108276,12269,3320,-1825,-22415,32767,1140
4.623150825500488,8905,10693,-2313,-8662,32767,26317
4.635087013244629,7429,20184,489,-4052,32483,25337
4.646970987319946,6473,19999,-1754,-7229,26358,-3712
4.658907890319824,10041,17053,-997,-13049,14843,-14540
4.670843839645386,13480,11217,3781,-16089,13763,-13898
4.682775020599365,12396,13898,2586,-8687,18687,-13267
4.694707632064819,9687,18350,1023,-6209,22291,-13664
4.706610441207886,5929,19675,336,-10115,21875,-14671
4.718539237976074,7170,14385,1072,-15657,17295,-14759
4.73051381111145,7343,16061,1677,-16261,15074,-7790
4.742516994476318,15773,20905,1174,-25272,18599,-960
4.754500865936279,12486,18769,994,-31270,27879,-1112
4.766414403915405,8126,17761,-424,-32768,32199,-199
4.778342962265015,9359,18225,-282,-32753,32153,2320
4.7903151512146,7895,12733,436,-32725,32767,971
4.802250146865845,1794,6830,1789,-32768,32755,-2571
4.814181327819824,646,8007,3219,-32767,32767,2129
4.826083183288574,1363,7388,3633,-32768,32767,1314
4.838017702102661,2200,4756,2927,-32768,32767,2922
4.849933624267578,4052,1996,3319,-32768,32767,5247
4.861867904663086,-199,3461,3194,-29325,32767,2145
4.8737993240356445,-1363,3441,4223,-27371,32767,-1368
4.885701656341553,-5382,5406,5184,-26349,32767,-2470
4.897626638412476,-6451,5620,7419,-26931,32767,-6780
4.909553527832031,-11689,4562,5315,-28405,32767,-9649
4.9214959144592285,-18205,-3176,5975,-30812,32767,-10643
4.933436870574951,-16589,-3696,8671,-20949,32081,-4424
